Year,Age,Gender,Population,Deaths
1961,28,Female,1095000,957.0
1961,28,Male,1059000,1817.0
1961,29,Female,1125000,1090.0
1961,29,Male,1089000,1846.0
1961,30,Female,1157000,1247.0
1961,30,Male,1117000,2076.0
1961,31,Female,1169000,1356.0
1961,31,Male,1124000,2120.0
1961,32,Female,1196000,1407.0
1961,32,Male,1149000,2195.0
1961,33,Female,1219000,1508.0
1961,33,Male,1171000,2380.0
1961,34,Female,1244000,1757.0
1961,34,Male,1192000,2633.0
1961,35,Female,1260000,1931.0
1961,35,Male,1204000,2858.0
1961,36,Female,1274000,2067.0
1961,36,Male,1212000,3158.0
1961,37,Female,1289000,2298.0
1961,37,Male,1222000,3371.0
1961,38,Female,1294000,2452.0
1961,38,Male,1227000,3689.0
1961,39,Female,1284000,2662.0
1961,39,Male,1216000,4111.0
1961,40,Female,1261000,2847.0
1961,40,Male,1197000,4533.0
1961,41,Female,1235000,3035.0
1961,41,Male,1173000,4836.0
1961,42,Female,1206000,3268.0
1961,42,Male,1150000,5140.0
1961,43,Female,1180000,3524.0
1961,43,Male,1129000,5580.0
1961,44,Female,1162000,3602.0
1961,44,Male,1115000,6119.0
1961,45,Female,1150615,3971.0
1961,45,Male,1108302,6590.0
1961,46,Female,1139416,4266.0
1961,46,Male,1099225,7171.0
1961,47,Female,1122491,4706.0
1961,47,Male,1084964,8146.0
1961,48,Female,1099549,4995.0
1961,48,Male,1064786,8592.0
1961,49,Female,1073541,5219.0
1961,49,Male,1040723,9132.0
1961,50,Female,1047727,5757.0
1961,50,Male,1015604,10436.0
1961,51,Female,1018838,5930.0
1961,51,Male,987310,11019.0
1961,52,Female,998554,6232.0
1961,52,Male,966310,11549.0
1961,53,Female,985069,6823.0
1961,53,Male,950995,12421.0
1961,54,Female,968727,6784.0
1961,54,Male,932781,13005.0
1961,55,Female,944551,7184.0
1961,55,Male,907071,13924.0
1961,56,Female,920624,7625.0
1961,56,Male,882146,14395.0
1961,57,Female,889783,7705.0
1961,57,Male,849369,14975.0
1961,58,Female,852669,8232.0
1961,58,Male,809456,15768.0
1961,59,Female,819105,8309.0
1961,59,Male,770958,16073.0
1961,60,Female,794403,10442.0
1961,60,Male,740050,18543.0
1961,61,Female,769803,10515.0
1961,61,Male,708734,19049.0
1961,62,Female,748463,10724.0
1961,62,Male,680398,18641.0
1961,63,Female,733958,11308.0
1961,63,Male,658889,19429.0
1961,64,Female,723598,11884.0
1961,64,Male,642556,20745.0
1961,65,Female,712130,14008.0
1961,65,Male,627005,23432.0
1961,66,Female,699325,13515.0
1961,66,Male,609650,23067.0
1961,67,Female,686615,14862.0
1961,67,Male,593854,24400.0
1961,68,Female,668389,16069.0
1961,68,Male,574560,25177.0
1961,69,Female,640838,16070.0
1961,69,Male,547863,24335.0
1961,70,Female,606473,17578.0
1961,70,Male,515430,25077.0
1961,71,Female,571448,17491.0
1961,71,Male,482912,25259.0
1961,72,Female,534549,19597.0
1961,72,Male,449178,26970.0
1961,73,Female,496350,19614.0
1961,73,Male,414103,25652.0
1961,74,Female,459194,19231.0
1961,74,Male,379243,24502.0
1961,75,Female,424035,20913.0
1961,75,Male,345430,25557.0
1961,76,Female,389123,20668.0
1961,76,Male,312822,24394.0
1961,77,Female,354144,20490.0
1961,77,Male,280347,23594.0
1961,78,Female,319719,20852.0
1961,78,Male,248591,22829.0
1961,79,Female,286222,20294.0
1961,79,Male,218143,21494.0
1961,80,Female,254397,21505.0
1961,80,Male,189582,20855.0
1961,81,Female,223109,19956.0
1961,81,Male,162428,19327.0
1961,82,Female,193610,19079.0
1961,82,Male,137435,17355.0
1961,83,Female,165999,18766.0
1961,83,Male,115046,16572.0
1961,84,Female,140366,17920.0
1961,84,Male,95320,15444.0
1962,0,Female,2007126,44540.0
1962,0,Male,2076625,60939.0
1962,1,Female,2045372,3117.0
1962,1,Male,2115331,3522.0
1962,2,Female,1983105,1840.0
1962,2,Male,2050911,2218.0
1962,3,Female,2000257,1382.0
1962,3,Male,2060153,1734.0
1962,4,Female,2027604,1079.0
1962,4,Male,2102309,1362.0
1962,5,Female,2031188,1055.0
1962,5,Male,2105883,1249.0
1962,6,Female,1954714,835.0
1962,6,Male,2016615,1129.0
1962,7,Female,1946998,757.0
1962,7,Male,2015113,1001.0
1962,8,Female,1877087,638.0
1962,8,Male,1942948,912.0
1962,9,Female,1840651,530.0
1962,9,Male,1909927,854.0
1962,10,Female,1824125,497.0
1962,10,Male,1893602,808.0
1962,11,Female,1773482,537.0
1962,11,Male,1832643,828.0
1962,12,Female,1712221,521.0
1962,12,Male,1773348,897.0
1962,13,Female,1697686,529.0
1962,13,Male,1748933,1027.0
1962,14,Female,1741074,593.0
1962,14,Male,1796820,1213.0
1962,15,Female,1851446,726.0
1962,15,Male,1918224,1410.0
1962,16,Female,1330137,678.0
1962,16,Male,1369907,1492.0
1962,17,Female,1360000,725.0
1962,17,Male,1383000,1752.0
1962,18,Female,1392000,820.0
1962,18,Male,1386000,2121.0
1962,19,Female,1442000,925.0
1962,19,Male,1397000,2349.0
1962,20,Female,1299000,864.0
1962,20,Male,1243000,2150.0
1962,21,Female,1225000,871.0
1962,21,Male,1175000,2170.0
1962,22,Female,1163000,832.0
1962,22,Male,1108000,1996.0
1962,23,Female,1146000,791.0
1962,23,Male,1079000,1995.0
1962,24,Female,1140000,839.0
1962,24,Male,1074000,1839.0
1962,25,Female,1106000,900.0
1962,25,Male,1057000,1804.0
1962,26,Female,1094000,957.0
1962,26,Male,1054000,1743.0
1962,27,Female,1101000,910.0
1962,27,Male,1060000,1754.0
1962,28,Female,1073000,959.0
1962,28,Male,1037000,1759.0
1962,29,Female,1095000,1126.0
1962,29,Male,1065000,1862.0
1962,30,Female,1139000,1159.0
1962,30,Male,1109000,1983.0
1962,31,Female,1148000,1292.0
1962,31,Male,1113000,2069.0
1962,32,Female,1170000,1450.0
1962,32,Male,1127000,2234.0
1962,33,Female,1193000,1528.0
