Year,Age,mx_male,mx_female,mx_diff
1961,17,0.0012830593280914939,0.0005134350036310821,0.0007696243244604118
1961,18,0.0014014996591683708,0.0005684138869979578,0.000833085772170413
1961,19,0.0016507413509060955,0.0006019032513877874,0.001048838099518308
1961,20,0.001693631669535284,0.0005916187345932621,0.0011020129349420217
1961,21,0.0018138056312443232,0.0006695501730103806,0.0011442554582339426
1961,22,0.0018511415525114155,0.000662280701754386,0.0011888608507570294
1961,23,0.0017719298245614035,0.0007015985790408526,0.0010703312455205508
1961,24,0.00164272030651341,0.0007422586520947177,0.0009004616544186923
1961,25,0.0016434034416826003,0.0007791017415215398,0.0008643017001610605
1961,26,0.0016511848341232227,0.0008255707762557078,0.0008256140578675149
1961,27,0.0016663433559650825,0.0008588785046728972,0.0008074648512921853
1961,28,0.0017157695939565628,0.0008739726027397261,0.0008417969912168367
1961,29,0.0016951331496786043,0.0009688888888888889,0.0007262442607897154
1961,30,0.0018585496866606983,0.0010777873811581677,0.0007807623055025306
1961,31,0.001886120996441281,0.0011599657827202738,0.0007261552137210073
1961,32,0.0019103568320278503,0.0011764214046822742,0.000733935427345576
1961,33,0.0020324508966695133,0.0012370795734208367,0.0007953713232486765
1961,34,0.0022088926174496644,0.001412379421221865,0.0007965131962277994
1961,35,0.0023737541528239202,0.0015325396825396826,0.0008412144702842376
1961,36,0.0026056105610561056,0.0016224489795918368,0.0009831615814642689
1961,37,0.0027585924713584287,0.00178277734678045,0.0009758151245779787
1961,38,0.003006519967400163,0.0018948995363214838,0.0011116204310786793
1961,39,0.0033807565789473683,0.002073208722741433,0.0013075478562059352
1961,40,0.003786967418546366,0.0022577319587628866,0.0015292354597834794
1961,41,0.004122762148337596,0.00245748987854251,0.0016652722697950858
1961,42,0.004469565217391305,0.0027097844112769485,0.001759780806114356
1961,43,0.0049424269264836136,0.0029864406779661016,0.001955986248517512
1961,44,0.005487892376681614,0.003099827882960413,0.002388064493721201
1961,45,0.005946032760023892,0.0034511978376781114,0.002494834922345781
1961,46,0.006523687143214538,0.0037440232540178475,0.00277966388919669
1961,47,0.007508083217507677,0.004192461231314995,0.0033156219861926826
1961,48,0.008069227055953027,0.0045427716272762745,0.0035264554286767525
1961,49,0.008774669148274804,0.004861481769210491,0.003913187379064313
1961,50,0.010275658622849064,0.005494751972603551,0.004780906650245513
1961,51,0.011160628374066908,0.005820356131200446,0.005340272242866462
1961,52,0.011951651126450104,0.006241024521458028,0.005710626604992076
1961,53,0.01306105710334965,0.006926418352419983,0.006134638750929666
1961,54,0.013942179353996276,0.0070030049745697185,0.006939174379426557
1961,55,0.015350507292152434,0.0076057301299771,0.0077447771621753335
1961,56,0.01631816048590596,0.008282425832913328,0.008035734652992631
1961,57,0.017630735287018952,0.008659414711227343,0.008971320575791608
1961,58,0.019479749362534837,0.009654391094316787,0.00982535826821805
1961,59,0.02084808770386973,0.010143998632653934,0.010704089071215797
1961,60,0.02505641510708736,0.013144461941860744,0.011911953165226615
1961,61,0.02687750270200103,0.0136593388178534,0.013218163884147632
1961,62,0.027397199874191282,0.014328029575276267,0.013069170298915016
1961,63,0.02948751610665833,0.015406876142776561,0.014080639963881769
1961,64,0.03228512378687616,0.016423483757555993,0.015861640029320168
1961,65,0.03737131282844634,0.019670565767486273,0.01770074706096007
1961,66,0.03783646354465677,0.019325778429199584,0.018510685115457188
1961,67,0.0410875400350928,0.021645317972954277,0.019442222062138526
1961,68,0.04381961849067112,0.02404138907133421,0.01977822941933691
1961,69,0.04441803881627341,0.025076540404907324,0.019341498411366086
1961,70,0.04865258133985216,0.028983977852270422,0.01966860348758174
1961,71,0.0523055960506262,0.03060820932088309,0.021697386729743112
1961,72,0.060043011901740516,0.036660811263326654,0.023382200638413862
1961,73,0.06194594098569679,0.0395164702326987,0.022429470752998094
1961,74,0.06460765261323215,0.041879902611967924,0.022727750001264223
1961,75,0.07398604637697942,0.04931904206020729,0.02466700431677213
1961,76,0.07798044894540665,0.05311431089912444,0.02486613804628221
1961,77,0.08415998744413174,0.057857820547573865,0.02630216689655787
1961,78,0.09183357402319473,0.0652197711115073,0.026613802911687426
1961,79,0.09853169709777532,0.0709030053594762,0.027628691738299113
1961,80,0.11000516926712452,0.08453322955852467,0.025471939708599844
1961,81,0.1189881054990519,0.08944506945035835,0.029543036048693544
1961,82,0.12627787681449412,0.09854346366406694,0.027734413150427184
1961,83,0.14404672913443317,0.11304887378839631,0.030997855346036857
1961,84,0.1620226605119597,0.12766624396221307,0.03435641654974664
1962,0,0.02934521158129176,0.022190933703215444,0.007154277878076317
1962,1,0.0016649876544143683,0.0015239281656344176,0.00014105948877995078
1962,2,0.0010814706245175923,0.0009278379107510697,0.00015363271376652267
1962,3,0.0008416850593135558,0.0006909112179084988,0.00015077384140505705
1962,4,0.0006478590920744762,0.000532155194012243,0.00011570389806223318
1962,5,0.0005931003764216721,0.0005194004690850871,7.369990733658498e-05
1962,6,0.0005598490539840277,0.0004271724661510584,0.0001326765878329693
1962,7,0.0004967463363096759,0.0003888036864958259,0.00010794264981385
1962,8,0.00046938981382929444,0.0003398883482758125,0.00012950146555348196
1962,9,0.0004471375083969178,0.0002879416032697127,0.00015919590512720506
1962,10,0.00042670001404730246,0.00027245939834167064,0.0001542406157056318
1962,11,0.0004518064893162498,0.0003027941642486363,0.00014901232506761352
1962,12,0.0005058228841716346,0.0003042831503643513,0.0002015397338072833
1962,13,0.000587215176338945,0.0003116006140122496,0.00027561456232669533
1962,14,0.0006750815329303993,0.0003405943687631887,0.00033448716416721054
1962,15,0.0007350549258063709,0.0003921259383206423,0.00034292898748572854
1962,16,0.0010891250281953447,0.0005097219308988472,0.0005794030972964975
1962,17,0.0012668112798264641,0.0005330882352941177,0.0007337230445323465
1962,18,0.0015303030303030303,0.000589080459770115,0.0009412225705329153
1962,19,0.0016814602720114531,0.0006414701803051317,0.0010399900917063215
