Year,Age,Gender,Population,Deaths,MortalityRate,qx_est
2014,5,Female,1962991,241.0,0.0001227718313532767,0.0001227642952004171
2014,5,Male,2044132,291.0,0.0001423587126467371,0.00014234858012607265
2014,6,Female,2025129,202.0,9.974673218348065e-05,9.974175764360105e-05
2014,6,Male,2110609,271.0,0.00012839895973152773,0.0001283907169379317
2014,7,Female,2032338,188.0,9.250429800554829e-05,9.250001961491616e-05
2014,7,Male,2122609,273.0,0.000128615303148154,0.00012860703255468398
2014,8,Female,2015050,188.0,9.329793305377038e-05,9.329358093701501e-05
2014,8,Male,2105426,254.0,0.00012064066844429583,0.00012063339165147013
2014,9,Female,2010609,181.0,9.002247577723963e-05,9.001842387579284e-05
2014,9,Male,2097377,268.0,0.00012777864923664177,0.00012777048589274198
2014,10,Female,2016411,165.0,8.182855578550206e-05,8.182520792054948e-05
2014,10,Male,2099920,254.0,0.00012095698883767,0.00012094967383602384
2014,11,Female,2002428,189.0,9.438541610484871e-05,9.438096194158696e-05
2014,11,Male,2083718,279.0,0.00013389527757594837,0.00013388631400335083
2014,12,Female,1993711,222.0,0.00011135014051685525,0.00011134394132006342
2014,12,Male,2075116,312.0,0.0001503530405047236,0.00015034173805283935
2014,13,Female,2041565,259.0,0.00012686346013964777,0.00012685541331114436
2014,13,Male,2128065,420.0,0.0001973623925960908,0.00019734291792028458
2014,14,Female,2068613,287.0,0.00013874030570241994,0.00013873068171132985
2014,14,Male,2164213,505.0,0.0002333411729806632,0.00023331395104653208
2014,15,Female,2035532,367.0,0.00018029684622987996,0.0001802805937303198
2014,15,Male,2128668,655.0,0.00030770416053607234,0.000307656824466207
2014,16,Female,2036566,439.0,0.00021555893597359477,0.00021553570481536166
2014,16,Male,2130552,996.0,0.00046748448289457383,0.0004673752290491606
2014,17,Female,2045824,545.0,0.000266396327347807,0.00026636084699682705
2014,17,Male,2137239,1257.0,0.0005881419906711416,0.0005879690690729911
2014,18,Female,2060101,644.0,0.0003126060324226822,0.0003125571762480073
2014,18,Male,2162801,1799.0,0.0008317917367339853,0.000831445893883731
2014,19,Female,2104157,761.0,0.0003616650278472566,0.00036159963493476166
2014,19,Male,2218922,2122.0,0.0009563202311753184,0.0009558631027150044
2014,20,Female,2146046,821.0,0.00038256402705254223,0.00038249085876596034
2014,20,Male,2267857,2368.0,0.0010441575460886643,0.0010436126032833393
2014,21,Female,2175140,976.0,0.0004487067499103506,0.00044860609609187474
2014,21,Male,2308700,2724.0,0.0011798847836444752,0.0011791889932708521
2014,22,Female,2241141,1038.0,0.0004631569365782876,0.00046304969596133727
2014,22,Male,2366907,2989.0,0.0012628295070317508,0.0012620324733909616
2014,23,Female,2296157,1015.0,0.0004420429439276147,0.0004419452573398708
2014,23,Male,2399934,3059.0,0.0012746183853389302,0.0012738064043500419
2014,24,Female,2298632,1068.0,0.0004646241764666985,0.0004645162553689186
2014,24,Male,2391478,3149.0,0.0013167589248155324,0.0013158923781685372
2014,25,Female,2210146,1142.0,0.0005167079459908984,0.000516574475429632
2014,25,Male,2295010,3112.0,0.001355985376970035,0.0013550664441988047
2014,26,Female,2162978,1240.0,0.0005732836857332807,0.0005731193900386788
2014,26,Male,2238115,3100.0,0.0013850941528920542,0.0013841353527130895
2014,27,Female,2129802,1198.0,0.0005624936026917056,0.0005623354328230246
2014,27,Male,2198625,3034.0,0.00137995337995338,0.0013790016821044748
2014,28,Female,2142992,1316.0,0.0006140946863077417,0.0006139061687570058
2014,28,Male,2205608,3163.0,0.0014340716936101065,0.001433043904165543
2014,29,Female,2168586,1412.0,0.000651115519513637,0.0006509035898031312
2014,29,Male,2216661,3208.0,0.0014472217447773926,0.0014461750243944804
2014,30,Female,2110450,1365.0,0.0006467814920988415,0.0006465723740365359
2014,30,Male,2139051,3158.0,0.0014763556362143773,0.001475266359351357
2014,31,Female,2148218,1520.0,0.0007075631988932222,0.0007073129350823049
2014,31,Male,2168438,3420.0,0.0015771721395769673,0.0015759290572021634
